MarathonResultInSecondsNormalized,ImprovementRate,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.292400203,-0.002292036,21097,0.394231874,-84,15000,0.195152603,-20,Y
0.089862069,0.040382271,21097,0.064690337,-35,15000,0.034269258,-20,N
0.675995508,0.185185145,10000,0.504129264,-7,10000,0.477491462,-10,N
0.257643398,-0.167880413,42195,0.23618054,-14,42195,0.614867082,-98,Y
0.331777597,0.056480271,42195,0.31297544,-14,21097,0.237619212,-84,N
0.381073357,0.039829206,42195,0.326091998,-21,42195,0.356396303,-98,N
0.410436799,0.040518472,42195,0.466137931,-49,21097,0.273698725,-35,N
0.560820112,0.289230554,21097,0.322187751,-84,10000,0.220991363,-31,N
0.540935446,0.183198071,21097,0.335777126,-98,15000,0.379697624,-6,N
0.50305373,0.172271523,21097,0.359132803,-98,10000,0.302431611,-2,N
0.448743027,0.189790087,21097,0.296914517,-91,10000,0.220991363,-24,N
0.509431566,0.067929796,10000,0.402175952,-21,42195,0.480827586,-49,N
0.453862069,0.026957955,15000,0.614542837,-55,15000,0.239265391,-36,N
0.422,0.096244289,21097,0.269102608,-35,10000,0.382408815,-16,N
0.477172414,0.176754256,21097,0.317591635,-35,10000,0.283244681,-16,N
0.401261747,0.087728666,5000,0.318342597,-13,15000,0.308723565,-8,N
0.45447358,0.165110336,21097,0.277555794,-21,15000,0.301170695,-21,N
0.481870893,0.105221589,15000,0.272815849,-21,42195,0.480482759,-28,N
0.300551724,0.12888827,21097,0.229576008,-35,15000,0.1137509,-20,N
0.265989203,0.162607639,10000,0.103038936,-6,21097,0.103724192,-15,N
0.190413793,0.089673517,10000,0.083409997,-7,15000,0.118070554,-48,N
0.398067259,-0.067113857,15000,0.578759337,-21,21097,0.351602896,-63,Y
0.383842288,0.168574304,15000,0.306105879,-21,10000,0.124430091,-79,N
0.518220677,0.159517978,21097,0.350798575,-84,15000,0.366606822,-20,N
0.357386075,0.134902928,15000,0.250448833,-104,10000,0.194517462,-11,N
0.336593494,0.16607888,21097,0.16005975,-84,15000,0.180969479,-20,N
0.100758621,0.032400921,21097,0.075376307,-35,15000,0.061339093,-20,N
0.151063007,0.014580253,10000,0.151885099,-105,10000,0.12108041,-10,N
0.42780555,0.166512452,15000,0.338958707,-104,10000,0.183627488,-11,N
0.372672607,0.097550562,21097,0.244858095,-84,15000,0.305385996,-20,N
0.447172414,0.202698242,21097,0.289670229,-35,10000,0.199278116,-16,N
0.450916467,0.138242873,21097,0.298058141,-84,15000,0.327289048,-20,N
0.419103448,0.161580075,21097,0.27588188,-35,15000,0.239164867,-20,N
0.534364128,0.302893355,10000,0.237841945,-100,5000,0.225099602,-14,N
0.671511403,0.200896072,21097,0.491554636,-84,15000,0.449676026,-20,N
0.568457673,0.220909176,15000,0.430659305,-21,10000,0.26443769,-79,N
0.523850019,0.103257063,21097,0.393427554,-84,10000,0.447758359,-16,N
0.689310345,0.393881459,21097,0.376192118,-35,10000,0.214665653,-16,N
0.618167762,0.166578916,42195,0.518482759,-49,21097,0.384694933,-35,N
0.589437079,0.149125302,21097,0.414914397,-84,15000,0.465709156,-20,N
0.6803247,0.253966271,21097,0.429966678,-84,15000,0.42275018,-20,N
0.627212988,0.304349495,21097,0.386418476,-84,10000,0.259308511,-16,N
0.610603029,0.140280305,21097,0.439388717,-37,15000,0.501256732,-20,N
0.611310345,0.196430486,15000,0.349028078,-55,21097,0.480731639,-8,N
