@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1360,12399,0.2889951459827574,0.09614344741304265,21097,5762,0.21222566930943354,-84.0,21097,6131,0.1734777278299959,-259.0
1365,11386,0.19644375724777735,-0.12771025603463632,15000,4067,0.2218252679441377,-21.0,42195,14424,0.42648275862068963,-28.0
1369,12490,0.2955879156705064,-0.0022044562087303876,42195,13154,0.446504758779127,-98.0,10000,2655,0.1490799849793466,-17.0
1370,13999,0.4049119756574658,0.13430845253911544,10000,2912,0.19733383402177995,-115.0,42195,13293,0.34387321221492073,-249.0
1372,16163,0.4630236367891411,0.09243036454852055,42195,14224,0.37910447761194027,-203.0,10000,3836,0.3620820668693009,-121.0
1381,14665,0.4081565423639478,-0.19031157875877824,10000,4097,0.8514308114464916,-21.0,42195,13578,0.3455054307989605,-49.0
1382,16554,0.5087760355721975,0.019738650961866944,42195,15981,0.4906954588758336,-203.0,42195,15307,0.48737931034482757,-70.0
1386,14096,0.40595284112872054,0.11117865059444731,21097,6419,0.2877168792370447,-84.0,21000,6943,0.3018315018315018,-259.0
1387,13313,0.3212448396316291,0.09288553872052957,42195,12309,0.2806206896551724,-70.0,15000,4017,0.17609791216702664,-55.0
1389,14929,0.4613103448275862,0.24318670681790308,21097,5847,0.22199241640813513,-35.0,15000,4282,0.2142548596112311,-20.0
1392,15366,0.504136064940085,0.24013214969997515,21097,5551,0.1879933729655979,-364.0,42195,13726,0.3400144575146218,0.0
1393,16273,0.9583196586806695,0.7024789375738645,03:39:59,42195,13199,0.21801848492701045,03:33:20,42195,12800,0.2936629572865996,-315.0
1394,14221,0.3879193722943723,0.020597487036343065,42195,13577,0.37433891183076146,-14.0,42195,13928,0.36030485868529694,-343.0
1396,14200,0.38649891774891776,0.05681141045198379,42195,13789,0.3896978917626603,-14.0,21097,6262,0.26967712283120765,-84.0
1398,12398,0.2867586206896552,0.02088454824345254,21097,5946,0.2333678042054464,-35.0,21097,6233,0.29838034068695896,-28.0
1399,12757,0.31493153662247336,-0.23825532397839472,42195,14166,0.6125697407285855,-98.0,10000,4491,0.4938039804731506,-17.0
1400,12820,0.3158620689655172,0.06618751772295345,21000,6096,0.21318681318681318,-294.0,10000,2655,0.2861622892983144,-21.0
1401,15479,0.45881232137186406,0.10351616223045706,42195,12846,0.3176551724137931,-70.0,42195,14434,0.39293714586902095,-294.0
1402,13901,0.36627435064935066,0.07805633974409498,42195,12289,0.2792413793103448,-427.0,42195,12853,0.2971946425001666,-364.0
1403,12502,0.29645729189306674,0.03657106702469343,42195,15360,0.36906154926281304,-140.0,10000,2818,0.15071090047393365,-160.0
1407,13780,0.3820689655172414,0.14443654998689254,21000,5749,0.17687074829931973,-294.0,42195,12871,0.298394082761378,-70.0
1409,12480,0.2924137931034483,0.1721935106584369,01:39:46,21097,5986,0.13814411395056556,00:21:18,5000,1278,0.1022964509394572,-55.0
1411,12381,0.2876910816489169,0.06836705454351391,42195,12563,0.28743718592964823,-364.0,10000,2851,0.1512108682811577,-153.0
1414,12559,0.3005868289502282,0.0016597018339589709,42195,13098,0.3075897110193712,-343.0,42195,12749,0.2902645432131672,-434.0
1417,13552,0.3348267228883911,-0.10166744187498133,42195,17397,0.581257803772097,-21.0,42195,12771,0.2917305257546478,-49.0
